,date_local,arithmetic_mean_gaseous,first_max_value_gaseous,first_max_hour_gaseous,aqi_gaseous,arithmetic_mean_particle,first_max_value_particle,first_max_hour_particle,aqi_particle,AQI,date_year
0,1990-01-05,,,,,20.0,20.0,0.0,19.0,19.0,1990
1,1990-01-11,,,,,61.0,61.0,0.0,54.0,54.0,1990
2,1990-01-17,,,,,11.0,11.0,0.0,10.0,10.0,1990
3,1990-01-23,,,,,18.0,18.0,0.0,17.0,17.0,1990
4,1990-01-29,,,,,17.0,17.0,0.0,16.0,16.0,1990
5,1990-02-10,,,,,16.0,16.0,0.0,15.0,15.0,1990
6,1990-02-16,,,,,19.0,19.0,0.0,18.0,18.0,1990
7,1990-02-22,,,,,15.0,15.0,0.0,14.0,14.0,1990
8,1990-02-28,,,,,13.0,13.0,0.0,12.0,12.0,1990
9,1990-03-06,,,,,17.0,17.0,0.0,16.0,16.0,1990
10,1990-03-12,,,,,11.0,11.0,0.0,10.0,10.0,1990
11,1990-03-18,,,,,14.0,14.0,0.0,13.0,13.0,1990
12,1990-03-24,,,,,22.0,22.0,0.0,20.0,20.0,1990
13,1990-03-30,,,,,12.0,12.0,0.0,11.0,11.0,1990
14,1990-04-05,,,,,18.0,18.0,0.0,17.0,17.0,1990
15,1990-04-11,,,,,16.0,16.0,0.0,15.0,15.0,1990
16,1990-04-17,,,,,34.0,34.0,0.0,31.0,31.0,1990
17,1990-04-23,,,,,16.0,16.0,0.0,15.0,15.0,1990
18,1990-05-11,,,,,34.0,34.0,0.0,31.0,31.0,1990
19,1990-05-17,,,,,25.0,25.0,0.0,23.0,23.0,1990
20,1990-05-23,,,,,14.0,14.0,0.0,13.0,13.0,1990
21,1990-05-29,,,,,11.0,11.0,0.0,10.0,10.0,1990
22,1990-06-04,,,,,35.0,35.0,0.0,32.0,32.0,1990
23,1990-06-10,,,,,18.0,18.0,0.0,17.0,17.0,1990
24,1990-06-16,,,,,15.0,15.0,0.0,14.0,14.0,1990
25,1990-06-22,,,,,18.0,18.0,0.0,17.0,17.0,1990
26,1990-06-28,,,,,23.0,23.0,0.0,21.0,21.0,1990
27,1990-07-04,,,,,17.0,17.0,0.0,16.0,16.0,1990
28,1990-07-10,,,,,12.0,12.0,0.0,11.0,11.0,1990
29,1990-07-16,,,,,7.0,7.0,0.0,6.0,6.0,1990
30,1990-07-22,,,,,14.0,14.0,0.0,13.0,13.0,1990
31,1990-07-28,,,,,17.0,17.0,0.0,16.0,16.0,1990
32,1990-08-03,,,,,7.0,7.0,0.0,6.0,6.0,1990
33,1990-08-09,,,,,14.0,14.0,0.0,13.0,13.0,1990
34,1990-08-15,,,,,8.0,8.0,0.0,7.0,7.0,1990
35,1990-08-21,,,,,15.0,15.0,0.0,14.0,14.0,1990
36,1990-08-27,,,,,15.0,15.0,0.0,14.0,14.0,1990
37,1990-09-02,,,,,7.0,7.0,0.0,6.0,6.0,1990
38,1990-09-08,,,,,9.0,9.0,0.0,8.0,8.0,1990
39,1990-09-26,,,,,15.0,15.0,0.0,14.0,14.0,1990
40,1990-10-02,,,,,53.0,53.0,0.0,49.0,49.0,1990
41,1990-10-08,,,,,9.0,9.0,0.0,8.0,8.0,1990
42,1990-10-14,,,,,120.0,120.0,0.0,83.0,83.0,1990
43,1990-10-20,,,,,141.0,141.0,0.0,94.0,94.0,1990
44,1990-10-26,,,,,116.0,116.0,0.0,81.0,81.0,1990
45,1990-11-01,,,,,59.0,59.0,0.0,53.0,53.0,1990
46,1990-11-07,,,,,13.0,13.0,0.0,12.0,12.0,1990
47,1990-11-13,,,,,38.0,38.0,0.0,35.0,35.0,1990
48,1990-11-19,,,,,19.0,19.0,0.0,18.0,18.0,1990
49,1990-12-01,,,,,19.0,19.0,0.0,18.0,18.0,1990
50,1990-12-07,,,,,14.0,14.0,0.0,13.0,13.0,1990
51,1990-12-13,,,,,10.0,10.0,0.0,9.0,9.0,1990
52,1990-12-19,,,,,19.0,19.0,0.0,18.0,18.0,1990
53,1990-12-25,,,,,10.0,10.0,0.0,9.0,9.0,1990
54,1990-12-31,,,,,13.0,13.0,0.0,12.0,12.0,1990
55,1991-01-06,,,,,11.0,11.0,0.0,10.0,10.0,1991
56,1991-01-12,,,,,9.0,9.0,0.0,8.0,8.0,1991
57,1991-01-18,,,,,9.0,9.0,0.0,8.0,8.0,1991
58,1991-01-24,,,,,16.0,16.0,0.0,15.0,15.0,1991
59,1991-01-30,,,,,25.0,25.0,0.0,23.0,23.0,1991
60,1991-02-05,,,,,14.0,14.0,0.0,13.0,13.0,1991
61,1991-02-11,,,,,17.0,17.0,0.0,16.0,16.0,1991
62,1991-02-17,,,,,15.0,15.0,0.0,14.0,14.0,1991
63,1991-02-23,,,,,16.0,16.0,0.0,15.0,15.0,1991
64,1991-03-01,,,,,3.0,3.0,0.0,3.0,3.0,1991
65,1991-03-07,,,,,9.0,9.0,0.0,8.0,8.0,1991
66,1991-03-13,,,,,20.0,20.0,0.0,19.0,19.0,1991
67,1991-03-19,,,,,21.0,21.0,0.0,19.0,19.0,1991
68,1991-03-25,,,,,14.0,14.0,0.0,13.0,13.0,1991
69,1991-03-31,,,,,12.0,12.0,0.0,11.0,11.0,1991
70,1991-04-06,,,,,14.0,14.0,0.0,13.0,13.0,1991
71,1991-04-12,,,,,12.0,12.0,0.0,11.0,11.0,1991
72,1991-04-18,,,,,17.0,17.0,0.0,16.0,16.0,1991
73,1991-04-24,,,,,19.0,19.0,0.0,18.0,18.0,1991
74,1991-04-30,,,,,20.0,20.0,0.0,19.0,19.0,1991
75,1991-05-06,,,,,18.0,18.0,0.0,17.0,17.0,1991
76,1991-05-12,,,,,19.0,19.0,0.0,18.0,18.0,1991
77,1991-05-18,,,,,22.0,22.0,0.0,20.0,20.0,1991
78,1991-05-24,,,,,16.0,16.0,0.0,15.0,15.0,1991
79,1991-05-30,,,,,39.0,39.0,0.0,36.0,36.0,1991
80,1991-06-05,,,,,17.0,17.0,0.0,16.0,16.0,1991
81,1991-06-11,,,,,16.0,16.0,0.0,15.0,15.0,1991
